"Beverage","After Consumption","C"
"Beer",27.0,
"Beer",20.0,
"Beer",21.0,
"Beer",26.0,
"Beer",27.0,
"Beer",31.0,
"Beer",24.0,
"Beer",19.0,
"Beer",23.0,
"Beer",24.0,
"Beer",28.0,
"Beer",19.0,
"Beer",24.0,
"Beer",29.0,
"Beer",20.0,
"Beer",17.0,
"Beer",31.0,
"Beer",20.0,
"Beer",25.0,
"Beer",28.0,
"Beer",21.0,
"Beer",27.0,
"Beer",21.0,
"Beer",18.0,
"Beer",20.0,
"Water",21.0,
"Water",22.0,
"Water",15.0,
"Water",12.0,
"Water",21.0,
"Water",16.0,
"Water",19.0,
"Water",15.0,
"Water",24.0,
"Water",19.0,
"Water",23.0,
"Water",13.0,
"Water",22.0,
"Water",20.0,
"Water",24.0,
"Water",18.0,
"Water",20.0,
"Water",22.0,
