name,band,dob,height,hair_color,hair_frosted,hair_length,hair_style,eyes,skin,age
Joey Zehr,The Click Five,5/10/1982,72,brown,no,medium,swept,blue,light,40
Young Rome,IMx,10/25/1981,69,black,no,short,fade,brown,dark,40
Kelton Kessee,IMx,1/2/1981,68,black,yes,medium,curly,brown,dark,41
Richard Burton Cronin,LFO,8/30/1974,75,brown,yes,short,spiked,blue,light,47
Garfield Bright,Shai,10/21/1969,79,black,no,short,curly,brown,medium-dark,52
Devin Lima,LFO,3/18/1977,71,brown,no,short,spiked,green,medium-light,45
Brad Fischetti,LFO,9/11/1975,75,brown,no,short,bangs,brown,light,46
Nathan Moore,Brother Beyond,1/10/1965,69,brown,no,short,slick,brown,medium-light,57
Craig Crippen,Mindless Behavior,12/26/1996,64,brown,yes,medium,fade,brown,medium-dark,25
Jacob Perez,Mindless Behavior,4/21/1996,65,black,no,medium,afro,brown,medium,26
Santo August,Mindless Behavior,7/23/1997,66,black,no,long,ponytail,brown,medium,24
Rayan Lopez,Mindless Behavior,1/6/1996,68,black,no,long,pigtail braids,brown,medium,26
Mark Calderon,Color Me Badd,9/27/1970,69,brown,no,long,shaggy,hazel,medium-light,51
Zac Hanson,Hanson,10/22/1985,70,blonde,no,long,shaggy,brown,light,36
Taylor Hanson,Hanson,3/14/1983,73,blonde,no,long,shaggy,blue,light,39
Isaac Hanson,Hanson,11/17/1980,71,blonde,no,long,shaggy,brown,light,41
"Marques ""Batman"" Houston",Immature,8/4/1981,70,black,no,medium,ponytail,brown,medium-dark,40
"Jerome ""Romeo"" Jones",Immature,10/25/1981,69,blonde,no,medium,curly,brown,medium-dark,40
"Kelton ""LDB"" Kessee",Immature,1/2/1981,68,black,no,medium,ponytail,brown,medium-dark,41
James Maslow,Big Time Rush,7/16/1990,73,brown,no,long,swept,brown,light,31
Kendall Schmidt,Big Time Rush,11/21/1990,71,blonde,no,medium,swept,green,light,31
Carlos PenaVega,Big Time Rush,8/15/1989,66,black,no,short,crew,brown,medium-light,32
Logan Henderson,Big Time Rush,9/14/1989,69,black,no,short,spiked,brown,light,32
Harry Styles,One Direction,2/1/1994,72,brown,no,medium,curly,green,light,28
Zayn Malik,One Direction,1/12/1993,69,black,no,medium,spiked,brown,medium-light,29
Louis Tomlinson,One Direction,12/24/1991,68,brown,no,short,curly,blue,light,30
Niall Horan,One Direction,9/13/1993,68,blonde,no,medium,swept,blue,light,28
Liam Payne,One Direction,8/29/1993,70,brown,no,short,spiked,brown,light,28
"Anthony ""Romeo"" Santos",Aventura,7/21/1981,73,black,no,short,slick,brown,medium,40
Henry Santos,Aventura,12/15/1979,68,black,no,medium,fade,brown,medium,42
Max Santos,Aventura,1/30/1982,76,black,no,medium,fade,brown,medium-light,40
Lenny Santos,Aventura,10/24/1979,69,black,no,short,crew,brown,medium,42
Justin Timberlake,NSYNC,1/31/1981,73,brown,yes,short,curly,blue,light,41
JC Chasez,NSYNC,8/8/1976,71,brown,no,short,spiked,blue,light,45
