Restaurant,Item,Type,ServingSize,Calories,TotalFat,SaturatedFat,TransFat,Carbs,Sodium
Arby's,French Fries,Homestyle,213,566,37,7,1,82,1029
Arby's,French Fries,Curly,198,631,37,7,1,73,1476
Arby's,Chicken Sandwhich,Crispy Fillet,238,526,30,5,0,50,901
Arby's,Chicken Sandwhich,Grilled Fillet,233,414,17,3,0,36,913
Arby's,Breakfast,Bacon & Egg Croissant,120,337,22,10,0,23,651
Arby's,Breakfast,Bacon Biscuit,95,340,21,6,0,29,1028
Arby's,Breakfast,"Bacon, Egg & Cheese Biscuit",158,461,28,8,0,30,1446
Arby's,Breakfast,"Bacon, Egg & Cheese Croissant",133,378,22,10,0,23,850
Arby's,Breakfast,"Bacon, Egg & Cheese Sourdough",173,437,16,5,0,40,1220
Arby's,Breakfast,"Bacon, Egg & Cheese Wrap",193,515,29,8,0.5,50,1367
Arby's,Breakfast,Egg & Cheese Sourdough,164,392,12,3,0,40,1058
Arby's,Breakfast,"Sausage, Egg & Cheese Biscuit",185,557,38,11,0,30,1579
Arby's,Breakfast,"Sausage, Egg & Cheese Sourdough",191,514,27,8,0,40,1232
Arby's,Breakfast,Ham & Cheese Croissant,113,274,12,7,0,22,842
Arby's,Breakfast,Ham Biscuit,125,316,17,4,0,29,1240
Arby's,Breakfast,"Ham, Egg & Cheese Biscuit",188,437,23,6,0,31,1658
Arby's,Breakfast,"Ham, Egg & Cheese Croissant",213,434,24,10,0,25,1282
Arby's,Breakfast,"Ham, Egg & Cheese Sourdough",296,679,35,11,0,42,2104
Arby's,Breakfast,"Ham, Egg & Cheese Wrap",242,568,31,10,1,51,1929
Arby's,Breakfast,Sausage & Egg Croissant,147,433,32,13,0,23,784
Arby's,Breakfast,Sausage Biscuit,122,436,31,9,0,28,1160
Arby's,Breakfast,Sausage Gravy Biscuit,238,961,68,14,0,107,3755
Arby's,Breakfast,"Sausage, Egg & Cheese Croissant",160,475,32,13,0,23,982
Arby's,Breakfast,"Sausage, Egg & Cheese Wrap",239,689,45,15,1,50,1849
Burger King,French Fries,Regular,160,500,28,6,6,57,820
Burger King,French Fries,Salt Not Added,160,500,28,6,6,57,530
Burger King,Hamburgers,Regular,121,290,12,4.5,0,30,560
Burger King,Sandwich/Cheeseburger,Whopper,290,670,39,11,1.5,51,1020
Burger King,Sandwich/Cheeseburger,Whopper (cheese),315,760,47,16,1.5,52,1450
Burger King,Sandwich/Cheeseburger,Double Whopper,373,900,57,19,2,51,1090
Burger King,Sandwich/Cheeseburger,Double Whopper (cheese),398,990,64,24,2.5,52,1520
Burger King,Sandwich/Cheeseburger,Triple Whopper,456,1130,74,27,3,51,1160
Burger King,Sandwich/Cheeseburger,Triple Whopper (cheese),480,1230,82,32,3.5,52,1590
Burger King,Sandwich/Cheeseburger,Whopper Jr.,158,370,21,6,0.5,31,570
Burger King,Sandwich/Cheeseburger,Whopper Jr. (cheese),170,410,24,8,1,32,780
Burger King,Sandwich/Cheeseburger,Double Hamburger,164,410,21,9,1,30,600
Burger King,Sandwich/Cheeseburger,Double Stacker,190,610,39,16,1.5,32,1100
Burger King,Sandwich/Cheeseburger,Triple Stacker,250,800,54,23,2,33,1450
Burger King,Sandwich/Cheeseburger,Quad Stacker,311,1000,68,30,3,34,1800
Burger King,Sandwich/Cheeseburger,Double Cheeseburger,189,500,29,14,1.5,31,1030
Burger King,Chicken Sandwhich,TENDERGRILL (with mayo),258,510,19,3.5,0.5,49,1180
Burger King,Chicken Sandwhich,TENDERCRISP,284,790,44,8,4,68,1640
Burger King,Chicken Sandwhich,Original,219,660,40,8,2.5,52,1440
Burger King,Chicken Sandwhich,Chick'n Crisp (with mayo),144,480,31,5,2,36,870
Burger King,Breakfast,Croissan'wich Egg & Cheese,115,300,17,6,2,26,740
Burger King,Breakfast,Croissan'wich Sausage & Cheese,106,370,25,9,2,23,810
Burger King,Breakfast,"Croissan'wich Sausage, Egg & Cheese",159,470,32,11,2.5,26,1060
Burger King,Breakfast,"Croissan'wich Ham, Egg & Cheese",149,340,18,6,2,26,1230
Burger King,Breakfast,"Croissan'wich Bacon, Egg & Cheese",122,340,20,7,2,26,890
Burger King,Breakfast,"Double Croissan'wich Sausage, Egg & Cheese",215,680,51,18,3,26,1590
Burger King,Breakfast,"Double Croissan'wich Bacon, Egg & Cheese",142,430,27,10,2,27,1250
Burger King,Breakfast,"Double Croissan'wich Ham, Egg & Cheese",196,420,23,9,2,27,2210
Burger King,Breakfast,"Double Croissan'wich Sausage, Bacon, Egg & Cheese",179,550,39,14,2.5,27,1420
Burger King,Breakfast,"Double Croissan'wich Ham, Bacon, Egg & Cheese",169,420,24,9,2,27,1600
