"","method","aroma","flavor","texture","moisture"
"1",1,5.4,6,6.3,6.7
"2",1,5.2,6.5,6,5.8
"3",1,6.1,5.9,6,7
"4",1,4.8,5,4.9,5
"5",1,5,5.7,5,6.5
"6",1,5.7,6.1,6,6.6
"7",1,6,6,5.8,6
"8",1,4,5,4,5
"9",1,5.7,5.4,4.9,5
"10",1,5.6,5.2,5.4,5.8
"11",1,5.8,6.1,5.2,6.4
"12",1,5.3,5.9,5.8,6
"13",2,5,5.3,5.3,6.5
"14",2,4.8,4.9,4.2,5.6
"15",2,3.9,4,4.4,5
"16",2,4,5.1,4.8,5.8
"17",2,5.6,5.4,5.1,6.2
"18",2,6,5.5,5.7,6
"19",2,5.2,4.8,5.4,6
"20",2,5.3,5.1,5.8,6.4
"21",2,5.9,6.1,5.7,6
"22",2,6.1,6,6.1,6.2
"23",2,6.2,5.7,5.9,6
"24",2,5.1,4.9,5.3,4.8
"25",3,4.8,5,6.5,7
"26",3,5.4,5,6,6.4
"27",3,4.9,5.1,5.9,6.5
"28",3,5.7,5.2,6.4,6.4
"29",3,4.2,4.6,5.3,6.3
"30",3,6,5.3,5.8,6.4
"31",3,5.1,5.2,6.2,6.5
"32",3,4.8,4.6,5.7,5.7
"33",3,5.3,5.4,6.8,6.6
"34",3,4.6,4.4,5.7,5.6
"35",3,4.5,4,5,5.9
"36",3,4.4,4.2,5.6,5.5
