behaveDiff,payDate,race2,racethn4,educ3,educ4,age3,kids,orientation,weight
NA,Sometimes,Non-white,Hispanic,College or more,College or more,35 - 64,No children,Gay/Bisexual,1.714025972
NA,Rarely,White,White,Some college,Some college,65 and up,Has children,Straight,1.247120116
No,Sometimes,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515746057
NA,Always,White,White,Some college,Some college,65 and up,Has children,No answer,0.600640079
Yes,Always,White,White,College or more,College or more,35 - 64,No children,Straight,1.033400454
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059086641
NA,Sometimes,Non-white,Other,College or more,Post graduate degree,18 - 34,Has children,Gay/Bisexual,0.257359715
NA,Often,White,White,College or more,College or more,65 and up,No children,Straight,0.656490054
No,Always,Non-white,Hispanic,Some college,Some college,35 - 64,Has children,Straight,4.341850255
No,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.057482292
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.500712903
NA,Often,White,White,Some college,Some college,35 - 64,No children,Straight,0.617906017
NA,Sometimes,White,White,College or more,College or more,35 - 64,No children,Straight,0.545344405
NA,Always,Non-white,Black,Some college,Some college,18 - 34,Has children,Straight,3.398346389
NA,Never,White,White,High school or less,High school or less,18 - 34,No children,Straight,8.643673599
NA,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.058149837
No,Sometimes,White,White,College or more,Post graduate degree,35 - 64,Has children,Gay/Bisexual,0.105632571
No,Often,White,White,College or more,College or more,35 - 64,No children,Straight,0.716907351
No,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.512408421
NA,Always,Non-white,Black,High school or less,High school or less,35 - 64,No children,Straight,2.632241555
NA,Sometimes,Non-white,Black,Some college,Some college,65 and up,No children,Straight,0.869991096
No,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.019744451
Yes,Sometimes,White,White,College or more,College or more,35 - 64,Has children,Straight,0.695610733
Yes,Sometimes,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515567485
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.059086641
Yes,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.06942877
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
NA,Never,White,White,Some college,Some college,65 and up,Has children,Straight,0.600430108
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.019744451
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.620528742
NA,Sometimes,Non-white,Other,High school or less,High school or less,18 - 34,No children,Straight,5.928646721
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,2.05030667
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.019744451
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.844578021
No,Often,White,White,High school or less,High school or less,35 - 64,Has children,Straight,2.193249238
No,Sometimes,White,White,Some college,Some college,35 - 64,Has children,Straight,0.49093909
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.408203209
NA,Never,Non-white,Other,High school or less,High school or less,35 - 64,Has children,Straight,1.8146813
