Year,Male Age,Actor,Male Movie,Female Age,Actress,Female Movie
1928,44,Emil Jannings,The Last Command,22,Laura Gainor (aka Janet Gaynor),Sunrise
1929,38,Warner Baxter,In Old Arizona,37,Mary Pickford,Coquette
1930,62,George Arliss,Disraeli,30,Norma Shearer,The Divorcee
1931,53,Lionel Barrymore,A Free Soul,62,Marie Dressler,Min and Bill
1932,41,W. Beery(47)/F. March(35)*,The Champ/Dr. Jekyll and Mr. Hyde,32,Helen Hayes,Sin of Madelon
1933,34,Charles Laughton,Private Life Henry VIII,26,Katherine Hepburn,Morning Glory
1934,33,Clarke Gable,It Happened One Night,31,Collette Colbert,It Happened One Night
1935,49,Victor McLagen,The Informer,27,Bette Davis,Dangerous
1936,41,Paul Muni,Story of Louis Pasteur,26,Luise Rainer,The Great Zeigfield
1937,37,Spencer Tracy,Captains Courageous,27,Luise Rainer,The Good Earth
1938,38,Spencer Tracy,Boys Town,30,Bette Davis,Jezebel
1939,34,Robert Donat,"Goodbye, Mr. Chips",26,Vivien Leigh,Gone With The Wind
1940,32,James Sterart,Philadelphia Story,29,Ginger Rogers,Kitty
1941,40,Gary Cooper,Sergeant York,24,Joan Fontaine,Suspicion
1942,43,James Cagney,Yankee Doodle Dandy,39,Greer Garson,Mrs Miniver
1943,48,Paul Lukas,Watch on the Rhine,24,Jennifer Jones,The Song of Bernadette
1944,41,Bing Crosby,Going My Way,29,Ingrid Bergman,Gaslight
1945,38,Ray Milland,The Lost Weekend,37,Joan Crawford,Mildred Pierce
1946,49,Fredric March,Best Years of Our Lives,30,Olivia de Havilland,To Each His Own
1947,56,Ronald Coleman,A Double Life,34,Loretta Young,The Farmer's Daughter
1948,41,Laurence Olivier,Hamlet,34,Jane Wyman,Johnny Belinda
1949,38,Broderick Crawford,All the King's Men,33,Olivia de Havilland,The Heiress
1950,38,Jose Ferrer,Cyrano Bergerac,28,Judy Holliday,Born Yesterday
1951,52,Humphrey Bogart,The African Queen,38,Vivien Leigh,A Streetcar Named Desire
1952,51,Gary Cooper,High Noon,45,Shirley Booth,"Come Back, Little Sheba"
1953,35,William Holden,Stalag 17,24,Audrey Hepburn,Roman Holiday
1954,30,Marlon Brando,On The Waterfront,26,Grace Kelly,The Country Girl
1955,38,Ernist Borgnine,Marty,47,Anna Magnani,The Rose Tattoo
1956,36,Yul Brenner,The King And I,41,Ingrid Bergman,Anastasia
1957,43,Alec Guiness,Bridge on River Kwai,27,Joanne Woodward,Three Faces of Eve
1958,48,David Niven,Separate Tables,39,Susan Hayward,I Want To Live!
1959,35,Charlton Heston,Ben-Hur,38,Simone Signoret,Room at the Top
1960,47,Burt Lancaster,Elmer Gantry,28,Elizabeth Taylor,Butterfield 8
1961,31,Maximilian Schell,Judgment at Nuremberg,27,Sophia Loren,Two Women
1962,46,Gregory Peck,To Kill a Mockingbird,31,Anne Bancroft,The Miracle Worker
1963,39,Sidney Pointier,Lilies of the Field,37,Patricia Neal,Hud
1964,56,Rex Harrison,My Fair Lady,30,Julie Andrews,Mary Poppins
1965,41,Lee Marvin,Act Ballou,24,Julie Christie,Darling
1966,44,Paul Scofield,A Man For All Seasons,34,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1967,42,Rod Steiger,In the Heat of The Night,60,Katherine Hepburn,Guess Who's Coming To Dinner
1968,43,Cliff Robertson,Charly,44,K. Hepburn(61)/B. Streisand(26)*,The Lion in Winter/Funny Girl
1969,62,John Wayne,True Grit,35,Maggie Smith,The Prime of Miss Jean Brodie
1970,43,George C Scott,Patton,34,Glenda Jackson,Women in Love
1971,40,Gene Hackman,The French Connection,34,Jane Fonda,Klute
1972,48,Marlon Brando,The Godfather,26,Liza Minnelli,Cabaret
1973,48,Jack Lemmon,Save The Tiger,37,Glenda Jackson,A Touch of Class
1974,56,Art Carney,Harry and Tonto,42,Ellen Burstyn,Alice Doesn't Live Here Anymore
