"","Group","Result"
"1","Intervention","Vaccine"
"2","Intervention","Vaccine"
"3","Intervention","Vaccine"
"4","Intervention","Vaccine"
"5","Intervention","Vaccine"
"6","Intervention","Vaccine"
"7","Intervention","Vaccine"
"8","Intervention","Vaccine"
"9","Intervention","Vaccine"
"10","Intervention","Vaccine"
"11","Intervention","Vaccine"
"12","Intervention","Vaccine"
"13","Intervention","Vaccine"
"14","Intervention","Vaccine"
"15","Intervention","Vaccine"
"16","Intervention","Vaccine"
"17","Intervention","Vaccine"
"18","Intervention","Vaccine"
"19","Intervention","Vaccine"
"20","Intervention","Vaccine"
"21","Intervention","Vaccine"
"22","Intervention","Vaccine"
"23","Intervention","Vaccine"
"24","Intervention","Vaccine"
"25","Intervention","Vaccine"
"26","Intervention","Vaccine"
"27","Intervention","Vaccine"
"28","Intervention","Vaccine"
"29","Intervention","Vaccine"
"30","Intervention","Vaccine"
"31","Intervention","Vaccine"
"32","Intervention","Vaccine"
"33","Intervention","Vaccine"
"34","Intervention","Vaccine"
"35","Intervention","Vaccine"
"36","Intervention","Vaccine"
"37","Intervention","Vaccine"
"38","Intervention","Vaccine"
"39","Intervention","Vaccine"
"40","Intervention","Vaccine"
"41","Intervention","Vaccine"
"42","Intervention","Vaccine"
"43","Intervention","Vaccine"
"44","Intervention","Vaccine"
"45","Intervention","Vaccine"
"46","Intervention","Vaccine"
"47","Intervention","Vaccine"
"48","Intervention","Vaccine"
"49","Intervention","Vaccine"
"50","Intervention","Vaccine"
"51","Intervention","Vaccine"
"52","Intervention","Vaccine"
"53","Intervention","Vaccine"
"54","Intervention","Vaccine"
"55","Intervention","Vaccine"
"56","Intervention","Vaccine"
"57","Intervention","Vaccine"
"58","Intervention","Vaccine"
"59","Intervention","Vaccine"
"60","Intervention","Vaccine"
"61","Intervention","Vaccine"
"62","Intervention","Vaccine"
"63","Intervention","Vaccine"
"64","Intervention","Vaccine"
"65","Intervention","Vaccine"
"66","Intervention","Vaccine"
"67","Intervention","Vaccine"
"68","Intervention","Vaccine"
"69","Intervention","Vaccine"
"70","Intervention","Vaccine"
"71","Intervention","Vaccine"
"72","Intervention","Vaccine"
"73","Intervention","Vaccine"
"74","Intervention","Vaccine"
"75","Intervention","Vaccine"
"76","Intervention","Vaccine"
"77","Intervention","Vaccine"
"78","Intervention","Vaccine"
"79","Intervention","Vaccine"
"80","Intervention","Vaccine"
